select count(account),server from notes where api_name ='cancel_bind' and ip = 'localhost' and date(created_at) = '2014-03-31' group by server;


+-------------+--------------------+
| computer_id | tt                 |
+-------------+--------------------+
|        2469 | 3.1382868105322106 |
|        2472 | 3.0754956705859393 |
|        2381 |  2.798048344684414 |
|        2403 |   2.76861356593005 |
|        2389 | 2.7232162576466727 |
|        2467 | 2.6590811139776522 |
|        2388 | 2.6318813602633253 |
|        2372 | 2.6247689452351155 |
|        2318 |  2.621275127171618 |
|        2426 |  2.578996849460448 |
|        2401 | 2.5617198521334097 |
|        2378 |   2.55711280915815 |
|        2374 | 2.5563428511086514 |
|        2379 |  2.545327995578884 |
|        1746 | 2.5322557431330197 |
|        1716 | 2.5177811712043967 |
|        2366 | 2.5063931845153022 |
|        1761 |  2.499257911445432 |
|        2382 |  2.460182322753327 |
|        2386 | 2.4572810930384557 |
|        2376 | 2.4380271107784792 |
|        2369 |  2.427324371616713 |
|        2384 | 2.4268851952476997 |
|        2370 | 2.4178033273516135 |
|        1743 |  2.413430376248266 |
|        2367 | 2.4021285248259594 |
|        2371 | 2.3984914632538157 |
|        2414 | 2.3944498418750335 |
|        2368 |  2.383121389172897 |
|        2412 | 2.3631486835733884 |
|        2394 |  2.326883798976271 |
|        2413 | 2.3260242621779095 |
|        2383 | 2.3036322476857074 |
|        2482 |  2.284023947431391 |
|        2385 |  2.257193268962874 |
|        2417 | 2.2110630794248562 |
|        2387 | 2.2106291721251456 |
|        2474 | 2.1808613539185338 |
|        2411 |  2.143976779923767 |
|        2489 |   2.13712114135752 |
|        2391 | 2.1244398206523725 |
|        2380 | 2.1169045311778523 |
|        2421 |  2.100222045205168 |
|        2418 | 2.0764805811978255 |
|        2395 | 2.0561188729768554 |
|        2103 |  2.055886855434627 |
|        2447 | 2.0520177683640144 |
|        2397 |  2.042245851719118 |
|        2375 | 2.0334837414899205 |
|        2406 | 2.0288474584872658 |
|        2427 |  2.005717685757419 |
|        2398 | 1.9988411624618976 |
|        2408 |  1.989089454474999 |
|        1814 | 1.9623743266403078 |
|        2054 | 1.9522849413522507 |
|        2109 | 1.9456890619569893 |
|        2441 | 1.9453185158484612 |
|        2217 | 1.9425857923984025 |
|        2407 | 1.9289375745597892 |
|        2439 |  1.915246451236769 |
|        2446 |  1.908552223473627 |
|        1976 | 1.9056074903206315 |
|        2072 | 1.9044312237163499 |
|        2296 |  1.903701481516522 |
|        2443 | 1.9011363653196658 |
|        2297 | 1.8997389065666108 |
